model,domain,N,mean_H,std_H,n_sequences,n_positions_per_seq
Qwen3-8B,wiki,16,3.1780241651535035,0.7536804542547878,200,20
Qwen3-8B,wiki,64,2.5036100920140743,0.8274880567745101,200,20
Qwen3-8B,wiki,256,2.3704778776168824,0.7575292363461111,200,20
Qwen3-8B,wiki,512,2.346418807655573,0.7365188702161914,200,20
Qwen3-8B,wiki,1024,2.3211165291965004,0.7057742770965465,200,20
Qwen3-8B,wiki,2048,2.1846779325008394,0.6791211147642807,200,20
Qwen3-8B,fiction,16,3.790732574462891,0.9856501382694868,200,20
Qwen3-8B,fiction,64,2.685758655697108,0.8599485401685387,200,20
Qwen3-8B,fiction,256,2.543786775380373,0.8642125840788809,200,20
Qwen3-8B,fiction,512,2.5663931061923506,0.8672464531562156,200,20
Qwen3-8B,fiction,1024,2.5832983641624447,0.9439259461006594,200,20
Qwen3-8B,fiction,2048,2.486821825921536,0.8599093102365267,200,20
